id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
 657 | 9889098d-b6e3-4174-9505-6f9cf3bd71fe | cam-tcp-01 | 2026-06-15 04:13:03.203718+00 |   8 |  84 | 628 | 479 |     0.8708
 655 | 1a44b67b-8072-4174-9ef4-9f9b337ef64e | cam-tcp-01 | 2026-06-15 04:13:03.018597+00 |  11 |  86 | 628 | 479 |     0.8661
 656 | 1a44b67b-8072-4174-9ef4-9f9b337ef64e | cam-tcp-01 | 2026-06-15 04:13:03.018597+00 | 580 | 353 | 639 | 479 |     0.8141
 654 | a2e63230-e6ed-4609-8316-121185bef6a1 | cam-tcp-01 | 2026-06-15 04:13:02.801514+00 | 580 | 353 | 639 | 479 |     0.8079
 653 | a2e63230-e6ed-4609-8316-121185bef6a1 | cam-tcp-01 | 2026-06-15 04:13:02.801514+00 |   4 |  83 | 626 | 479 |     0.8693
 652 | 53cf2789-c810-488d-a042-2af07e7ab2df | cam-tcp-01 | 2026-06-15 04:13:02.604352+00 | 579 | 353 | 639 | 479 |     0.7698
 651 | 53cf2789-c810-488d-a042-2af07e7ab2df | cam-tcp-01 | 2026-06-15 04:13:02.604352+00 |   5 |  84 | 620 | 479 |     0.8636
 650 | eaa0b148-9054-495f-ac66-65a1748c1e1d | cam-tcp-01 | 2026-06-15 04:13:02.409336+00 | 578 | 353 | 639 | 479 |     0.8083
 649 | eaa0b148-9054-495f-ac66-65a1748c1e1d | cam-tcp-01 | 2026-06-15 04:13:02.409336+00 |  10 |  83 | 624 | 479 |     0.8832
 647 | 1d423fc9-3c36-473a-a57b-b95c90088a4d | cam-tcp-01 | 2026-06-15 04:13:02.201775+00 |   7 |  83 | 621 | 479 |     0.8788
 648 | 1d423fc9-3c36-473a-a57b-b95c90088a4d | cam-tcp-01 | 2026-06-15 04:13:02.201775+00 | 579 | 353 | 639 | 479 |     0.7937
 646 | f79a2fee-2e38-4f48-a337-5abdd7d0fbcb | cam-tcp-01 | 2026-06-15 04:13:02.001207+00 | 578 | 354 | 639 | 479 |     0.7736
 645 | f79a2fee-2e38-4f48-a337-5abdd7d0fbcb | cam-tcp-01 | 2026-06-15 04:13:02.001207+00 |  10 |  84 | 629 | 479 |     0.8708
 644 | f77f560f-90e6-4e0f-a433-5c74469dbf0c | cam-tcp-01 | 2026-06-15 04:13:01.814463+00 | 579 | 352 | 639 | 479 |     0.7959
 643 | f77f560f-90e6-4e0f-a433-5c74469dbf0c | cam-tcp-01 | 2026-06-15 04:13:01.814463+00 |  14 |  84 | 624 | 479 |     0.8677
